visitor_cbgs,year,month,location_name,latitude,longitude,scaled_visits,visits,travel_distance_km,travel_time_minutes,visits_per_person,median_age,median_income
340030091002,2019,6,Ladies Pavilion,40.780506,-73.971362,45.4347826086957,8,30.244,29.9833333333333,0.0434782608695652,42.1,180577
340030091002,2019,6,Ladies Pavilion,40.780506,-73.971338,45.4347826086957,8,30.244,29.9833333333333,0.0434782608695652,42.1,180577
340030091002,2019,11,Diana Ross Playground,40.782214,-73.97178,23.4831460674157,4,30.244,29.9833333333333,0.0224719101123596,42.1,180577
340030120013,2018,8,Cherry Hill Fountain,40.773559,-73.97345,12.3,4,20.302,26.4666666666667,0.00666666666666667,35.5,70152
340030120013,2019,11,Diana Ross Playground,40.782214,-73.97178,37.4619289340102,8,20.302,26.4666666666667,0.0203045685279188,35.5,70152
340030120014,2019,8,Central Park,40.780777,-73.961689,96.7309644670051,8,20.606,27.3833333333333,0.0406091370558376,35.5,92941
340030130012,2018,4,East 72nd Street Playground,40.772219,-73.967929,159.96837944664,16,17.99,26.7166666666667,0.0316205533596838,35.7,140050
340030130012,2018,4,Billy Johnson Playground,40.77331,-73.968275,199.9604743083,20,17.99,26.7166666666667,0.0395256916996047,35.7,140050
340030130012,2018,5,Cherry Hill Fountain,40.773559,-73.97345,34.473594548552,4,17.99,26.7166666666667,0.00681431005110733,35.7,140050
340030130012,2018,8,Ladies Pavilion,40.780412,-73.971345,47.7264150943396,4,17.99,26.7166666666667,0.00943396226415094,35.7,140050
340030130012,2018,8,Ladies Pavilion,40.780506,-73.971362,95.4528301886793,8,17.99,26.7166666666667,0.0188679245283019,35.7,140050
340030130012,2018,8,Ladies Pavilion,40.780506,-73.971338,95.4528301886793,8,17.99,26.7166666666667,0.0188679245283019,35.7,140050
340030130012,2018,8,Diana Ross Playground,40.782214,-73.97178,47.7264150943396,4,17.99,26.7166666666667,0.00943396226415094,35.7,140050
340030130012,2019,5,East 72nd Street Playground,40.772219,-73.967929,150.118694362018,20,17.99,26.7166666666667,0.029673590504451,35.7,140050
340030130012,2019,7,Harlem Meer,40.776485,-73.971902,26.8026490066225,4,17.99,26.7166666666667,0.00529801324503311,35.7,140050
340030130012,2019,7,Harlem Meer,40.796201,-73.951128,53.605298013245,8,17.99,26.7166666666667,0.0105960264900662,35.7,140050
340030130012,2019,7,Harlem Meer,40.796441,-73.951584,26.8026490066225,4,17.99,26.7166666666667,0.00529801324503311,35.7,140050
340030130012,2019,9,Central Park,40.780777,-73.961689,15.2093198045847,8,17.99,26.7166666666667,0.00300638857572341,35.7,140050
340030130012,2019,11,Diana Ross Playground,40.782214,-73.97178,33.7829716193656,4,17.99,26.7166666666667,0.00667779632721202,35.7,140050
340030130012,2019,12,The Arthur Ross Pinetum Playground,40.773501,-73.97495,99.5213114754099,12,17.99,26.7166666666667,0.019672131147541,35.7,140050
340030130021,2018,7,Tarr Coyne Tots Playground,40.773265,-73.977058,128.46511627907,16,14.488,19.1833333333333,0.0930232558139535,35.6,138929
340030130021,2018,8,Diana Ross Playground,40.782214,-73.97178,37.578231292517,4,14.488,19.1833333333333,0.0272108843537415,35.6,138929
340030130021,2019,10,Diana Ross Playground,40.782214,-73.97178,41.5338345864662,4,14.488,19.1833333333333,0.0300751879699248,35.6,138929
340030130023,2018,8,East 72nd Street Playground,40.772219,-73.967929,95.5923566878981,16,16.951,23.4333333333333,0.101910828025478,35.7,78269
340030130023,2018,10,Harlem Meer,40.776485,-73.971902,23.746835443038,4,16.951,23.4333333333333,0.0253164556962025,35.7,78269
340030130023,2018,10,Harlem Meer,40.796201,-73.951128,47.4936708860759,8,16.951,23.4333333333333,0.0506329113924051,35.7,78269
340030130023,2018,10,Harlem Meer,40.796441,-73.951584,23.746835443038,4,16.951,23.4333333333333,0.0253164556962025,35.7,78269
340030130024,2018,5,Central Park,40.780777,-73.961689,47.5056179775281,8,15.802,22.9833333333333,0.0449438202247191,40,130911
340030130025,2018,5,Central Park,40.780777,-73.961689,53.6666666666667,8,15.079,20.6,0.0666666666666667,49.5,128077
340030130025,2018,6,Billy Johnson Playground,40.77331,-73.968275,149.074074074074,20,15.079,20.6,0.185185185185185,49.5,128077
340030130025,2019,3,The Arthur Ross Pinetum Playground,40.773501,-73.97495,100.625,12,15.079,20.6,0.125,49.5,128077
340030152004,2018,8,Diana Ross Playground,40.782214,-73.97178,50.0253164556962,4,21.022,26.65,0.0506329113924051,55.5,135938
340030153004,2019,11,Diana Ross Playground,40.782214,-73.97178,15.5714285714286,4,19.197,23.6666666666667,0.0119047619047619,45.4,43015
340030154001,2018,8,Central Park Windmill League,40.770586,-73.976295,16.5353159851301,4,19.678,24.5166666666667,0.0148698884758364,50.9,55446
340030154002,2019,6,Harlem Meer,40.776485,-73.971902,22.0874316939891,4,18.279,21.4,0.0109289617486339,33.7,46818
340030154002,2019,6,Harlem Meer,40.796201,-73.951128,44.1748633879781,8,18.279,21.4,0.0218579234972678,33.7,46818
340030154002,2019,6,Harlem Meer,40.796441,-73.951584,22.0874316939891,4,18.279,21.4,0.0109289617486339,33.7,46818
340030154002,2019,9,Tarr Coyne Tots Playground,40.773265,-73.977058,122.022641509434,16,18.279,21.4,0.060377358490566,33.7,46818
340030154003,2018,1,Diana Ross Playground,40.782214,-73.97178,43.7481481481481,4,18.2,22.1666666666667,0.0148148148148148,36.2,74813
340030154003,2018,2,Diana Ross Playground,40.782214,-73.97178,51.8070175438597,4,18.2,22.1666666666667,0.0175438596491228,36.2,74813
340030154003,2018,8,East 72nd Street Playground,40.772219,-73.967929,153.402597402597,16,18.2,22.1666666666667,0.051948051948052,36.2,74813
340030154003,2018,8,Central Park,40.780777,-73.961689,76.7012987012987,8,18.2,22.1666666666667,0.025974025974026,36.2,74813
340030154003,2019,11,Central Park,40.780777,-73.961689,106.414414414414,8,18.2,22.1666666666667,0.036036036036036,36.2,74813
340030155001,2018,6,Tarr Coyne Tots Playground,40.773265,-73.977058,169.655172413793,16,15.92,19.5,0.137931034482759,54.1,143958
340030155001,2018,9,Billy Johnson Playground,40.77331,-73.968275,251.020408163265,20,15.92,19.5,0.204081632653061,54.1,143958
340030155001,2019,6,East 72nd Street Playground,40.772219,-73.967929,158.709677419355,16,15.92,19.5,0.129032258064516,54.1,143958
340030155002,2018,3,Diana Ross Playground,40.782214,-73.97178,73.0689655172414,4,15.65,18.05,0.0344827586206897,35,100327
340030155002,2018,7,Cherry Hill Fountain,40.773559,-73.97345,61.4202898550725,4,15.65,18.05,0.0289855072463768,35,100327
340030155002,2018,10,Central Park,40.780777,-73.961689,159.323308270677,10,15.65,18.05,0.075187969924812,35,100327
340030155002,2019,12,Central Park,40.780777,-73.961689,167.841584158416,8,15.65,18.05,0.0792079207920792,35,100327
340030155003,2018,10,Diana Ross Playground,40.782214,-73.97178,47.4166666666667,4,16.444,19.7333333333333,0.0833333333333333,38.5,121750
340030155003,2019,8,East 72nd Street Playground,40.772219,-73.967929,206.909090909091,16,16.444,19.7333333333333,0.363636363636364,38.5,121750
340030155003,2019,9,Diana Ross Playground,40.782214,-73.97178,48.4255319148936,4,16.444,19.7333333333333,0.0851063829787234,38.5,121750
340030160002,2018,7,Central Park,40.780777,-73.961689,97.3170731707317,10,17.124,20.9,0.121951219512195,52.4,138077
340030160002,2019,12,Central Park,40.780777,-73.961689,65.9504132231405,10,17.124,20.9,0.0826446280991735,52.4,138077
340030160003,2018,2,Central Park,40.780777,-73.961689,151.692307692308,8,15.845,20.2,0.153846153846154,45.7,116216
340030160003,2018,5,Tarr Coyne Tots Playground,40.773265,-73.977058,213.189189189189,16,15.845,20.2,0.216216216216216,45.7,116216
